,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,160000,77,Success,1.7429343172916623e-05,2.4744345189768736e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,4.357335793229156e-05,4.264792130275573e-06,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,2.904890528819437e-05,3.6829074275536096e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,2.178667896614578e-05,3.005104502676255e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,1.7429343172916623e-05,2.4744345189768736e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,1.4524452644097185e-05,2.091305919590721e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,1.2449530837797588e-05,1.8074168733878436e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,1.089333948307289e-05,1.5900636935051986e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,9.682968429398124e-06,1.4187882047279674e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,8.714671586458312e-06,1.2805337765255472e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,7.922428714962102e-06,1.1666769741292796e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,7.262226322048593e-06,1.0713260058139015e-05,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,6.703593528044855e-06,9.903308515274707e-06,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,2000,6.429999999999999e-06,4.264792130275573e-06,158000,77,Success,6.224765418898794e-06,9.206891543494756e-06,5.422135878511777e-06,5.465116578055349,1,vMFNM,7,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,2000,6.429999999999999e-06,6.5235362242456425e-06,140000,67,Success,8.94444786475624e-06,9.584211231327287e-06,8.131515906724995e-06,4.7089779740958075,1,vMFNM,7,1,algebraic,False,0,False
