,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,252000,81,Success,2.756933218519415e-05,3.2849173503624896e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,8.244457948199175e-06,6.397838551735137e-06,6.540433276303612e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,4.5948886975323587e-05,7.927628148848387e-06,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,3.446166523149269e-05,3.538367354555165e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,2.756933218519415e-05,3.2849173503624896e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,2.2974443487661793e-05,2.9190674712147447e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,1.9692380132281535e-05,2.593758118775042e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,1.7230832615746344e-05,2.3224451342099877e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,1.5316295658441194e-05,2.097748324766955e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,3000,6.429999999999999e-06,6.397838551735137e-06,249000,81,Success,1.3784666092597075e-05,1.9103791334575755e-05,6.878394217404513e-06,3.0346459821324823,2,vMFNM,7,1,algebraic,True,10,False
