,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,324000,51,Success,1.3603249963850882e-05,1.6506295704292423e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,5.59363029788286e-06,6.369961806344427e-06,6.245450231725509e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,2.2672083273084804e-05,5.72682772693974e-06,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,1.7004062454813604e-05,1.801013378155591e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,1.3603249963850882e-05,1.6506295704292423e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,1.1336041636542402e-05,1.4591280421743318e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,9.716607117036345e-06,1.2927921170435705e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,8.502031227406802e-06,1.1554508896579277e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,7.557361091028268e-06,1.0423425000437907e-05,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 1, 'mixture_model': 'vMFNM', 'cvar_tgt': 7, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.369961806344427e-06,318000,51,Success,6.801624981925441e-06,9.483612956533771e-06,6.556006639102904e-06,6.347370148027777,1,vMFNM,7,1,algebraic,True,10,False
