,Solver,Problem,Seed,Sample Size,Truth,Estimate,Cost,Steps,Message,Average Estimate,Root Weighted Average Estimate,VAR Weighted Average Estimate,CVAR,stepsize_tolerance,mixture_model,cvar_tgt,lip_sigma,tgt_fun,divergence_check,observation_window,callback
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,366000,58,Success,1.933335459423687e-05,2.2173601836701737e-05,6.2195197652680156e-06,1.993594161607931,2,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,6.156438707697594e-06,6.07317067002239e-06,6.08426835565988e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,3.0816662628176116e-05,6.142152171056917e-06,6.220755902916929e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,2.311249697113209e-05,2.3992784748208998e-05,6.220755902916929e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.933335459423687e-05,2.2173601836701737e-05,6.2195197652680156e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.6111128828530724e-05,2.0170730642817988e-05,6.2195197652680156e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,6,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.5034653558484448e-05,1.800862603514992e-05,6.2209723281068556e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,7,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.3797238345562942e-05,1.6800035486649086e-05,6.2175544545153185e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,8,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.8453627442172807e-05,1.5680005657940386e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,9,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.6608264697955524e-05,1.7359414830665926e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,10,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.509842245268684e-05,1.6901151768551675e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,11,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.3840220581629603e-05,1.618668839615164e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,12,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.2775588229196555e-05,1.5418448820153674e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,13,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,0,6000,6.429999999999999e-06,6.07317067002239e-06,360000,58,Success,1.1863046212825375e-05,1.4663876711755451e-05,6.247946795988087e-06,1.993594161607931,2,vMFNM,2,1,algebraic,True,14,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,624000,101,Not Converged.,6.237524320711903e-06,6.2898518261717004e-06,6.320565863437942e-06,26.387104600553773,2,vMFNM,2,1,algebraic,False,0,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,618000,101,Not Converged.,6.850966957347352e-06,7.597551071540798e-06,6.879743085558011e-06,26.387104600553773,2,vMFNM,2,1,algebraic,True,2,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,618000,101,Not Converged.,6.033782404513311e-06,6.9790605404383415e-06,5.964128896589325e-06,26.387104600553773,2,vMFNM,2,1,algebraic,True,3,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,618000,101,Not Converged.,6.080713684866863e-06,6.316929273597115e-06,6.074217067283277e-06,26.387104600553773,2,vMFNM,2,1,algebraic,True,4,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,618000,101,Not Converged.,6.022978541769739e-06,6.217015500144469e-06,5.9841995089595695e-06,26.387104600553773,2,vMFNM,2,1,algebraic,True,5,False
0,"CBREE {'stepsize_tolerance': 2, 'mixture_model': 'vMFNM', 'cvar_tgt': 2, 'lip_sigma': 1, 'tgt_fun': 'algebraic'}",Nonlinear Oscillator Problem,1,6000,6.429999999999999e-06,7.597551071540798e-06,618000,101,Not Converged.,5.992688423570756e-06,6.132898322569752e-06,5.9438450841428845e-06,26.387104600553773,2,vMFNM,2,1,algebraic,True,6,False
